Categoria,Avaliacao,Faturamento,Frete,Peso,Frete por grama
Agro industry and commerce,1.0,17352.65,773.67,88292.0,0.008762628550718072
Agro industry and commerce,2.0,5909.5,401.79,67850.0,0.005921739130434783
Agro industry and commerce,3.0,3852.13,392.17,47072.0,0.008331279741672332
Agro industry and commerce,4.0,16716.88,1497.49,225894.0,0.006629171204193117
Agro industry and commerce,5.0,28699.31,2778.48,339416.0,0.00818606076319325
Air conditioning,1.0,8041.21,1229.87,225933.0,0.005443516440714725
Air conditioning,2.0,1431.8,212.29999999999998,40560.0,0.00523422090729783
Air conditioning,3.0,3421.7,504.75,95258.0,0.0052987675575804655
Air conditioning,4.0,9449.04,1046.92,200709.0,0.005216108893970874
Air conditioning,5.0,31986.31,3639.68,644291.0,0.005649124386340954
Art,1.0,2522.5,531.91,50450.0,0.010543310208126858
Art,2.0,746.9399999999999,94.75,11900.0,0.00796218487394958
Art,3.0,1725.66,397.69,28090.0,0.014157707369170523
Art,4.0,3499.2599999999998,763.3199999999999,71865.0,0.010621582133166352
Art,5.0,15543.380000000001,2220.85,159822.0,0.013895771545844753
Arts and craftmanship,1.0,265.78000000000003,50.08,5367.0,0.009331097447363518
Arts and craftmanship,3.0,188.39000000000001,41.94,3550.0,0.011814084507042253
Arts and craftmanship,4.0,235.28,43.05,3785.0,0.011373844121532363
Arts and craftmanship,5.0,1124.56,235.06,20175.0,0.01165105328376704
Audio,1.0,8111.29,946.9300000000001,87370.0,0.010838159551333411
Audio,2.0,1000.1800000000001,279.16,17407.0,0.01603722640317114
Audio,3.0,4729.85,523.39,31575.0,0.016576088677751386
Audio,4.0,6928.83,825.27,52260.0,0.01579161882893226
Audio,5.0,29638.66,3060.52,247631.0,0.012359195738821068
Auto,1.0,103542.36,12449.36,1494996.0,0.008327353384223102
Auto,2.0,21056.39,3691.32,533739.0,0.006915964544468364
Auto,3.0,47135.39,7400.36,856675.0,0.008638468497388157
Auto,4.0,106694.8,18451.65,2072805.0,0.00890177802542931
Auto,5.0,306597.97000000003,49849.98,5952845.0,0.008374143791749996
Baby,1.0,75550.52,10430.92,1786925.0,0.005837357471634232
Baby,2.0,17703.53,2568.92,451492.0,0.005689846110230082
Baby,3.0,32550.59,5453.41,884872.0,0.006162936560316068
Baby,4.0,65381.53,12108.14,1724089.0,0.0070229205104840875
Baby,5.0,217178.0,37243.03,5065451.0,0.007352362109514039
Bed bath table,1.0,143534.5,29458.0,2998590.0,0.009823950590110686
Bed bath table,2.0,47531.99,9332.68,1013016.0,0.009212766629549781
Bed bath table,3.0,96679.97,20251.51,2225890.0,0.009098162981998212
Bed bath table,4.0,197524.41,38919.49,4545885.0,0.008561477028125436
Bed bath table,5.0,540921.51,104288.15,12509706.0,0.008336578813283061
Books general interest,1.0,3521.84,728.78,38087.0,0.019134612860030983
Books general interest,2.0,1258.5,129.45,4100.0,0.03157317073170732
Books general interest,3.0,1616.52,330.89,14650.0,0.022586348122866893
Books general interest,4.0,6702.12,1375.5,58353.0,0.023572052850753176
Books general interest,5.0,33481.15,6561.28,301930.0,0.021731129732057097
Books imported,1.0,327.96,72.25,3850.0,0.018766233766233768
Books imported,2.0,135.0,9.76,950.0,0.010273684210526315
Books imported,3.0,154.0,24.77,2000.0,0.012385
Books imported,4.0,274.98,46.64,3300.0,0.014133333333333333
Books imported,5.0,3747.91,616.43,27450.0,0.02245646630236794
Books technical,1.0,1774.01,393.78000000000003,16850.0,0.02336973293768546
Books technical,2.0,326.58,100.69,6400.0,0.0157328125
Books technical,3.0,450.99,152.83,8058.0,0.018966244725738397
Books technical,4.0,2653.82,601.4,49950.0,0.012040040040040039
Books technical,5.0,13781.72,2983.98,188003.0,0.01587198076626437
Cds dvds musicals,3.0,45.0,16.11,550.0,0.02929090909090909
Cds dvds musicals,4.0,135.0,42.16,1650.0,0.025551515151515148
Cds dvds musicals,5.0,550.0,166.72,5500.0,0.030312727272727272
Christmas supplies,1.0,1074.01,368.82,29105.0,0.012672049476035046
Christmas supplies,2.0,89.46000000000001,33.55,5100.0,0.0065784313725490194
Christmas supplies,3.0,684.84,219.95999999999998,16500.0,0.01333090909090909
Christmas supplies,4.0,1970.5,790.52,74250.0,0.010646734006734007
Christmas supplies,5.0,4271.29,1571.1299999999999,153683.0,0.010223186689484198
Cine photo,1.0,1054.38,158.29000000000002,10990.0,0.014403093721565062
Cine photo,2.0,268.95,44.19,3850.0,0.011477922077922077
Cine photo,3.0,323.65,91.53,8800.0,0.010401136363636364
Cine photo,4.0,534.15,102.23,1467.0,0.06968643490115883
Cine photo,5.0,4752.33,859.96,58475.0,0.014706455750320651
Computers,1.0,22559.99,1284.67,211150.0,0.006084158181387639
Computers,2.0,1859.9,70.72999999999999,11350.0,0.006231718061674008
Computers,3.0,10682.0,597.62,91050.0,0.0065636463481603515
Computers,4.0,42824.09,1945.27,278300.0,0.006989831117499102
Computers,5.0,136272.15,5627.87,851050.0,0.006612854708889019
Computers accessories,1.0,144950.44,21295.77,979489.0,0.021741714302049336
Computers accessories,2.0,30396.69,5164.95,188446.0,0.027408116914129244
Computers accessories,3.0,67874.91,12489.2,532642.0,0.02344764400854608
Computers accessories,4.0,182756.9,29125.95,1429828.0,0.02037024733044814
Computers accessories,5.0,480914.23,78417.3,3884488.0,0.020187293666501224
Consoles games,1.0,28486.97,2593.9,69220.0,0.03747327362034095
Consoles games,2.0,4609.25,560.33,11319.0,0.049503489707571346
Consoles games,3.0,15204.04,2005.43,79788.0,0.025134481375645463
Consoles games,4.0,26763.43,3802.31,91008.0,0.04177995341068917
Consoles games,5.0,80307.58,10636.91,255884.0,0.041569265761047976
Construction tools construction,1.0,13931.26,2113.65,291671.0,0.0072466923348567394
Construction tools construction,2.0,5379.41,1092.1200000000001,273100.0,0.003998974734529477
Construction tools construction,3.0,13974.18,2240.89,355511.0,0.006303293006404865
Construction tools construction,4.0,23362.35,4232.82,548509.0,0.007716956330707426
Construction tools construction,5.0,86318.0,10831.33,1402056.0,0.0077253191028033115
Construction tools lights,1.0,3405.2400000000002,608.66,69000.0,0.008821159420289855
Construction tools lights,2.0,1414.83,460.52,33650.0,0.01368558692421991
Construction tools lights,3.0,4224.21,701.76,92850.0,0.0075579967689822294
Construction tools lights,4.0,8929.2,1828.1299999999999,274750.0,0.006653794358507734
Construction tools lights,5.0,22276.75,3784.75,538315.0,0.007030734792825762
Construction tools safety,1.0,6964.82,703.01,31016.0,0.022666043332473563
Construction tools safety,2.0,668.01,57.910000000000004,1850.0,0.0313027027027027
Construction tools safety,3.0,2810.99,373.29,7746.0,0.04819132455460883
Construction tools safety,4.0,6083.4,724.84,29408.0,0.024647714907508163
Construction tools safety,5.0,23988.3,2044.82,84243.0,0.0242728772717021
Cool stuff,1.0,76107.23,9299.76,899720.0,0.010336282398968569
Cool stuff,2.0,18860.43,2541.07,259317.0,0.009799087603203801
Cool stuff,3.0,45178.66,6507.49,701454.0,0.009277144331631154
Cool stuff,4.0,110278.88,15816.23,1843062.0,0.008581496444503766
Cool stuff,5.0,377168.82,49032.55,5865184.0,0.008359933805998244
Costruction tools garden,1.0,2130.7400000000002,707.8199999999999,57252.0,0.012363236218822049
Costruction tools garden,2.0,1157.89,266.33,31337.0,0.008498899065003031
Costruction tools garden,3.0,2062.39,311.86,30762.0,0.010137832390611794
Costruction tools garden,4.0,5831.360000000001,1096.38,118187.0,0.009276654792828316
Costruction tools garden,5.0,14533.51,2929.0099999999998,311179.0,0.009412621031624884
Costruction tools tools,1.0,945.45,166.46,11008.0,0.01512172965116279
Costruction tools tools,3.0,29.9,14.08,200.0,0.0704
Costruction tools tools,4.0,4077.17,399.59999999999997,25860.0,0.015452436194895591
Costruction tools tools,5.0,10721.73,1377.23,81744.0,0.01684808670972793
Diapers and hygiene,1.0,327.8,136.12,5600.0,0.024307142857142857
Diapers and hygiene,3.0,292.0,139.62,6200.0,0.022519354838709676
Diapers and hygiene,4.0,264.0,123.98,2500.0,0.049592000000000004
Diapers and hygiene,5.0,683.79,173.96,11650.0,0.014932188841201717
Drinks,1.0,3325.13,795.57,70710.0,0.011251166737378023
Drinks,2.0,236.46,74.07,4376.0,0.016926416819012795
Drinks,3.0,1223.68,462.79,21085.0,0.021948778752667774
Drinks,4.0,4891.56,1296.33,86763.0,0.014941046298537394
Drinks,5.0,12661.93,2998.19,190106.0,0.015771148727551997
Dvds blu ray,1.0,2724.57,186.60999999999999,5990.0,0.031153589315525875
Dvds blu ray,2.0,83.99,12.89,2150.0,0.005995348837209303
Dvds blu ray,3.0,8.9,7.39,200.0,0.03695
Dvds blu ray,4.0,456.07,263.3,4350.0,0.06052873563218391
Dvds blu ray,5.0,2708.96,800.92,18325.0,0.043706412005457024
Electronics,1.0,20560.97,5943.57,277970.0,0.02138205561751268
Electronics,2.0,6689.099999999999,1819.2,64752.0,0.02809488510007413
Electronics,3.0,11620.68,3492.79,184327.0,0.01894887889457323
Electronics,4.0,32260.97,9605.27,387092.0,0.02481392020501586
Electronics,5.0,85121.45,25202.76,1201047.0,0.020983991467444653
Fashio female clothing,1.0,463.59000000000003,80.66,3150.0,0.025606349206349206
