Categoria,Faturamento,Frete,Avaliacao
Agro industry and commerce,17352.65,773.67,1.0
Agro industry and commerce,5909.5,401.79,2.0
Agro industry and commerce,3852.13,392.17,3.0
Agro industry and commerce,16716.88,1497.49,4.0
Agro industry and commerce,28699.31,2778.48,5.0
Air conditioning,8041.21,1229.87,1.0
Air conditioning,1431.8,212.3,2.0
Air conditioning,3421.7,504.75,3.0
Air conditioning,9449.04,1046.92,4.0
Air conditioning,31986.31,3639.68,5.0
Art,2522.5,531.91,1.0
Art,746.9399999999999,94.75,2.0
Art,1725.66,397.69,3.0
Art,3499.26,763.3199999999999,4.0
Art,15543.38,2220.85,5.0
Arts and craftmanship,265.78000000000003,50.08,1.0
Arts and craftmanship,188.39,41.94,3.0
Arts and craftmanship,235.28,43.05,4.0
Arts and craftmanship,1124.56,235.06,5.0
Audio,8111.29,946.93,1.0
Audio,1000.18,279.16,2.0
Audio,4729.85,523.39,3.0
Audio,6928.83,825.27,4.0
Audio,29638.66,3060.52,5.0
Auto,103542.36,12449.36,1.0
Auto,21056.39,3691.32,2.0
Auto,47135.39,7400.36,3.0
Auto,106694.8,18451.65,4.0
Auto,306597.97000000003,49849.98,5.0
Baby,75550.52,10430.92,1.0
Baby,17703.53,2568.92,2.0
Baby,32550.59,5453.41,3.0
Baby,65381.53,12108.14,4.0
Baby,217178.0,37243.03,5.0
Bed bath table,143534.5,29458.0,1.0
Bed bath table,47531.99,9332.68,2.0
Bed bath table,96679.97,20251.51,3.0
Bed bath table,197524.41,38919.49,4.0
Bed bath table,540921.51,104288.15,5.0
Books general interest,3521.84,728.78,1.0
Books general interest,1258.5,129.45,2.0
Books general interest,1616.52,330.89,3.0
Books general interest,6702.12,1375.5,4.0
Books general interest,33481.15,6561.28,5.0
Books imported,327.96,72.25,1.0
Books imported,135.0,9.76,2.0
Books imported,154.0,24.77,3.0
Books imported,274.98,46.64,4.0
Books imported,3747.91,616.43,5.0
Books technical,1774.01,393.78,1.0
Books technical,326.58,100.69,2.0
Books technical,450.99,152.83,3.0
Books technical,2653.82,601.4,4.0
Books technical,13781.72,2983.98,5.0
Cds dvds musicals,45.0,16.11,3.0
Cds dvds musicals,135.0,42.16,4.0
Cds dvds musicals,550.0,166.72,5.0
Christmas supplies,1074.01,368.82,1.0
Christmas supplies,89.46000000000001,33.55,2.0
Christmas supplies,684.84,219.96,3.0
Christmas supplies,1970.5,790.52,4.0
Christmas supplies,4271.29,1571.13,5.0
Cine photo,1054.38,158.29000000000002,1.0
Cine photo,268.95,44.19,2.0
Cine photo,323.65,91.53,3.0
Cine photo,534.15,102.23,4.0
Cine photo,4752.33,859.96,5.0
Computers,22559.99,1284.67,1.0
Computers,1859.9,70.72999999999999,2.0
Computers,10682.0,597.62,3.0
Computers,42824.09,1945.27,4.0
Computers,136272.15,5627.87,5.0
Computers accessories,144950.44,21295.77,1.0
Computers accessories,30396.69,5164.95,2.0
Computers accessories,67874.91,12489.2,3.0
Computers accessories,182756.9,29125.95,4.0
Computers accessories,480914.23,78417.3,5.0
Consoles games,28486.97,2593.9,1.0
Consoles games,4609.25,560.33,2.0
Consoles games,15204.04,2005.43,3.0
Consoles games,26763.43,3802.31,4.0
Consoles games,80307.58,10636.91,5.0
Construction tools construction,13931.26,2113.65,1.0
Construction tools construction,5379.41,1092.12,2.0
Construction tools construction,13974.18,2240.89,3.0
Construction tools construction,23362.35,4232.82,4.0
Construction tools construction,86318.0,10831.33,5.0
Construction tools lights,3405.24,608.66,1.0
Construction tools lights,1414.83,460.52,2.0
Construction tools lights,4224.21,701.76,3.0
Construction tools lights,8929.2,1828.13,4.0
Construction tools lights,22276.75,3784.75,5.0
Construction tools safety,6964.82,703.01,1.0
Construction tools safety,668.01,57.91,2.0
Construction tools safety,2810.99,373.29,3.0
Construction tools safety,6083.4,724.84,4.0
Construction tools safety,23988.3,2044.82,5.0
Cool stuff,76107.23,9299.76,1.0
Cool stuff,18860.43,2541.07,2.0
Cool stuff,45178.66,6507.49,3.0
Cool stuff,110278.88,15816.23,4.0
Cool stuff,377168.82,49032.55,5.0
Costruction tools garden,2130.74,707.8199999999999,1.0
Costruction tools garden,1157.89,266.33,2.0
Costruction tools garden,2062.39,311.86,3.0
Costruction tools garden,5831.360000000001,1096.38,4.0
Costruction tools garden,14533.51,2929.01,5.0
Costruction tools tools,945.45,166.46,1.0
Costruction tools tools,29.9,14.08,3.0
Costruction tools tools,4077.17,399.6,4.0
Costruction tools tools,10721.73,1377.23,5.0
Diapers and hygiene,327.8,136.12,1.0
Diapers and hygiene,292.0,139.62,3.0
Diapers and hygiene,264.0,123.98,4.0
Diapers and hygiene,683.79,173.96,5.0
Drinks,3325.13,795.57,1.0
Drinks,236.46,74.07,2.0
Drinks,1223.68,462.79,3.0
Drinks,4891.56,1296.33,4.0
Drinks,12661.93,2998.19,5.0
Dvds blu ray,2724.57,186.61,1.0
Dvds blu ray,83.99,12.89,2.0
Dvds blu ray,8.9,7.39,3.0
Dvds blu ray,456.07,263.3,4.0
Dvds blu ray,2708.96,800.92,5.0
Electronics,20560.97,5943.57,1.0
Electronics,6689.099999999999,1819.2,2.0
Electronics,11620.68,3492.79,3.0
Electronics,32260.97,9605.27,4.0
Electronics,85121.45,25202.76,5.0
Fashio female clothing,463.59,80.66,1.0
Fashio female clothing,312.8,49.93,2.0
Fashio female clothing,332.08000000000004,77.08,3.0
Fashio female clothing,504.69,141.22,4.0
Fashio female clothing,1190.48,272.86,5.0
Fashion bags accessories,18233.13,3602.06,1.0
Fashion bags accessories,3826.3,914.34,2.0
Fashion bags accessories,12164.05,2708.27,3.0
Fashion bags accessories,28497.15,6450.32,4.0
Fashion bags accessories,89282.43,17634.03,5.0
Fashion childrens clothes,49.9,16.79,1.0
Fashion childrens clothes,519.95,78.72,5.0
Fashion male clothing,2798.69,503.14,1.0
Fashion male clothing,184.7,46.07,2.0
Fashion male clothing,704.08,123.23,3.0
Fashion male clothing,1584.67,344.1,4.0
